blknum,value
39168,{2019-03-03 23:00:32.39+00 .. 2019-03-26 19:42:32.246+00}
39296,{2019-03-26 19:42:04.846+00 .. 2019-03-26 20:07:39.256+00}
39424,{2019-03-26 20:07:26.074+00 .. 2019-03-26 20:11:38.044+00}
39552,{2019-03-26 20:07:26.058+00 .. 2019-03-26 20:17:52.115+00}
39680,{2019-03-26 20:12:00.427+00 .. 2019-03-26 20:19:06.241+00}
39808,{2019-03-26 20:18:56.115+00 .. 2019-03-26 20:22:00.872+00}
39936,{2019-03-26 20:21:46.83+00 .. 2019-03-26 20:24:26.929+00}
40064,{2019-03-26 20:24:10.535+00 .. 2019-03-26 20:31:47.009+00}
40192,{2019-03-26 20:26:26.212+00 .. 2019-03-26 20:39:53.543+00}
40320,{2019-03-26 20:32:04.25+00 .. 2019-03-26 20:41:23.3+00}
40448,{2019-03-26 20:39:53.733+00 .. 2019-03-26 20:42:03.597+00}
40576,{2019-03-26 20:41:55.777+00 .. 2019-03-26 20:43:48.774+00}
40704,{2019-03-26 20:43:33.379+00 .. 2019-03-26 20:44:48.285+00}
40832,{2019-03-26 20:44:30.065+00 .. 2019-03-26 20:51:31.357+00}
40960,{2019-03-26 20:51:15.481+00 .. 2019-03-26 20:52:32.831+00}
41088,{2019-03-26 20:52:11.685+00 .. 2019-03-26 20:53:35.242+00}
41216,{2019-03-26 20:53:09.631+00 .. 2019-03-26 20:56:06.917+00}
41344,{2019-03-26 20:53:09.749+00 .. 2019-03-26 20:56:49.539+00}
41472,{2019-03-26 20:56:37.047+00 .. 2019-03-26 20:57:51.608+00}
41600,{2019-03-26 20:57:35.332+00 .. 2019-03-27 13:50:28.832+00}
41728,{2019-03-27 13:50:21.853+00 .. 2019-12-17 21:04:52.137+00}
41856,{2019-03-28 19:54:07.508+00 .. 2019-03-28 19:58:52.027+00}
41984,{2019-03-28 19:58:35.207+00 .. 2019-03-28 20:00:49.524+00}
42112,{2019-03-28 20:00:36.339+00 .. 2019-03-28 20:03:05.123+00}
42240,{2019-03-28 20:02:59.38+00 .. 2019-03-28 20:05:03.578+00}
42368,{2019-03-28 20:04:45.333+00 .. 2019-12-17 21:04:52.77+00}
42496,{2019-04-08 15:08:42.431+00 .. 2019-12-17 21:04:53.389+00}
42624,{2019-04-11 20:52:02.643+00 .. 2019-04-12 19:06:43.73+00}
42752,{2019-04-12 19:06:34.212+00 .. 2019-12-17 21:04:56.38+00}
42880,{2019-04-18 19:54:09.391+00 .. 2019-04-22 19:53:30.373+00}
43008,{2019-04-22 19:53:24.239+00 .. 2019-12-17 21:04:58.672+00}
43136,{2019-04-25 21:39:41.827+00 .. 2019-12-17 21:04:59.968+00}
43264,{2019-05-13 20:32:54.582+00 .. 2019-05-13 21:05:23.928+00}
43392,{2019-05-13 21:05:03.024+00 .. 2019-05-18 11:59:40.134+00}
43520,{2019-05-18 12:13:15.362+00 .. 2019-12-17 21:05:00.709+00}
43648,{2019-06-05 21:14:22.62+00 .. 2019-06-05 21:37:27.586+00}
43776,{2019-06-05 21:37:10.157+00 .. 2019-06-05 21:46:31.812+00}
43904,{2019-06-05 21:46:18.261+00 .. 2019-06-05 22:00:52.242+00}
44032,{2019-06-05 22:00:35.846+00 .. 2019-06-05 22:14:26.097+00}
44160,{2019-06-05 22:14:06.862+00 .. 2019-06-05 22:21:06.284+00}
44288,{2019-06-05 22:20:59.734+00 .. 2019-06-05 22:33:14.149+00}
44416,{2019-06-05 22:32:54.191+00 .. 2019-06-05 22:45:15.231+00}
44544,{2019-06-05 22:44:42.43+00 .. 2019-06-05 22:51:06.411+00}
44672,{2019-06-05 22:51:01.112+00 .. 2019-06-05 23:03:11.879+00}
44800,{2019-06-05 23:02:56.725+00 .. 2019-06-06 12:25:48.841+00}
44928,{2019-06-06 12:25:30.257+00 .. 2019-06-06 14:19:03.263+00}
45056,{2019-06-06 14:18:57.765+00 .. 2019-12-17 21:18:20.057+00}
45184,{2019-06-24 20:57:39.891+00 .. 2019-12-17 21:22:29.198+00}
45312,{2019-06-30 10:20:26.215+00 .. 2019-12-17 21:22:31.064+00}
45440,{2019-07-01 21:20:30.887+00 .. 2019-12-17 21:22:31.777+00}
45568,{2019-07-03 11:32:28.478+00 .. 2019-12-17 21:48:40.117+00}
45696,{2019-07-04 19:20:30.805+00 .. 2019-12-17 21:48:43.206+00}
45824,{2019-07-08 01:52:26.84+00 .. 2019-12-17 21:48:43.215+00}
45952,{2019-07-08 12:53:00.526+00 .. 2019-12-17 21:48:44.621+00}
46080,{2019-07-09 11:32:58.746+00 .. 2019-12-17 21:48:46.237+00}
46208,{2019-07-11 10:20:28.023+00 .. 2019-12-17 21:48:47.795+00}
46336,{2019-07-13 14:05:19.503+00 .. 2019-12-17 21:48:48.802+00}
46464,{2019-07-15 13:57:26.907+00 .. 2019-12-17 21:48:50.46+00}
46592,{2019-07-17 13:52:23.728+00 .. 2019-12-17 21:50:11.661+00}
46720,{2019-07-19 05:56:57.599+00 .. 2019-12-17 22:20:41.165+00}
46848,{2019-07-22 18:15:51.37+00 .. 2019-12-17 22:20:44.667+00}
46976,{2019-07-24 22:34:11.611+00 .. 2019-12-17 22:20:45.722+00}
47104,{2019-07-26 13:00:25.66+00 .. 2019-12-17 22:20:46.038+00}
47232,{2019-07-27 21:00:30.542+00 .. 2019-12-17 22:21:57.128+00}
47360,{2019-07-28 22:28:38.62+00 .. 2019-12-17 22:21:59.684+00}
