blknum,value
0,{2016-11-02 05:41:14.537+00 .. 2019-01-20 22:59:06.511+00}
128,{2016-11-04 08:16:59.519+00 .. 2019-02-21 13:20:32.178+00}
256,{2016-11-07 21:10:42.799+00 .. 2016-11-09 18:13:01.189+00}
384,{2016-11-09 18:13:01.168+00 .. 2016-11-14 14:01:36.783+00}
512,{2016-11-14 14:01:36.658+00 .. 2016-11-16 15:10:45.413+00}
640,{2016-11-16 15:10:44.904+00 .. 2016-11-18 11:31:07.151+00}
768,{2016-11-18 11:31:01.321+00 .. 2016-11-18 19:01:40.82+00}
896,{2016-11-18 19:01:40.604+00 .. 2016-11-23 09:35:36.982+00}
1024,{2016-11-23 09:35:36.956+00 .. 2016-11-29 01:54:30.553+00}
1152,{2016-11-29 01:54:30.436+00 .. 2016-11-30 08:07:44.564+00}
1280,{2016-11-30 08:07:44.441+00 .. 2016-12-02 09:38:25.099+00}
1408,{2016-12-02 09:38:25.091+00 .. 2016-12-05 07:33:58.689+00}
1536,{2016-12-05 07:33:58.683+00 .. 2016-12-09 18:45:03.947+00}
1664,{2016-12-09 18:45:03.762+00 .. 2016-12-14 19:37:41.349+00}
1792,{2016-12-14 19:37:40.853+00 .. 2016-12-20 10:00:37.389+00}
1920,{2016-12-20 10:00:37.358+00 .. 2016-12-27 08:56:42.947+00}
2048,{2016-12-27 08:56:42.92+00 .. 2016-12-28 10:58:15.985+00}
2176,{2016-12-28 10:58:15.912+00 .. 2016-12-28 11:52:41.63+00}
2304,{2016-12-28 11:52:56.177+00 .. 2016-12-29 13:20:30.792+00}
2432,{2016-12-29 13:20:30.674+00 .. 2017-02-03 19:54:19.262+00}
2560,{2017-02-03 19:12:25.865+00 .. 2017-04-27 22:18:31.577+00}
2688,{2017-04-27 22:18:30.689+00 .. 2017-08-11 04:53:21.031+00}
2816,{2017-08-11 04:52:21.518+00 .. 2018-01-22 07:28:02.707+00}
2944,{2018-01-22 07:28:02.701+00 .. 2018-01-25 09:42:41.13+00}
3072,{2018-01-25 09:42:35.69+00 .. 2018-08-07 18:10:48.253+00}
3200,{2018-08-07 18:10:39.381+00 .. 2018-08-21 21:14:08.621+00}
3328,{2016-11-02 05:41:14.548+00 .. 2018-12-04 22:36:53.488+00}
3456,{2016-11-02 12:36:52.581+00 .. 2016-11-07 20:08:48.469+00}
3584,{2016-11-07 20:08:48.469+00 .. 2016-11-08 15:36:09.745+00}
3712,{2016-11-08 15:36:09.744+00 .. 2016-11-09 09:18:52.71+00}
3840,{2016-11-09 09:18:10.237+00 .. 2016-11-10 06:13:28.313+00}
3968,{2016-11-10 06:13:10.438+00 .. 2016-11-10 06:15:03.821+00}
4096,{2016-11-10 06:14:39.452+00 .. 2016-11-15 10:47:19.48+00}
4224,{2016-11-15 10:47:19.478+00 .. 2016-11-15 10:49:21.683+00}
4352,{2016-11-15 10:49:04.984+00 .. 2016-11-16 15:11:11.022+00}
4480,{2016-11-16 15:10:43.225+00 .. 2016-11-17 15:21:55.91+00}
4608,{2016-11-17 15:21:55.909+00 .. 2016-11-18 16:29:20.018+00}
4736,{2016-11-18 16:29:20.016+00 .. 2016-11-22 02:41:42.981+00}
4864,{2016-11-22 02:41:41.724+00 .. 2016-11-28 15:28:40.679+00}
4992,{2016-11-28 15:28:40.316+00 .. 2016-11-28 15:28:41.709+00}
5120,{2016-11-28 15:28:41.538+00 .. 2016-11-28 15:28:42.989+00}
5248,{2016-11-28 15:28:42.754+00 .. 2016-11-28 15:28:44.174+00}
5376,{2016-11-28 15:28:43.973+00 .. 2016-11-28 15:28:45.393+00}
5504,{2016-11-28 15:28:45.243+00 .. 2016-11-28 15:28:46.708+00}
5632,{2016-11-28 15:28:46.5+00 .. 2016-11-28 15:48:44.011+00}
5760,{2016-11-28 15:48:43.903+00 .. 2016-11-28 15:49:13.596+00}
5888,{2016-11-28 15:49:13.411+00 .. 2016-11-28 15:50:02.452+00}
6016,{2016-11-28 15:49:37.921+00 .. 2016-11-28 18:45:04.078+00}
6144,{2016-11-28 18:45:04.065+00 .. 2016-11-28 18:45:37.501+00}
6272,{2016-11-28 18:45:37.258+00 .. 2016-11-28 18:46:02.283+00}
6400,{2016-11-28 18:46:02.049+00 .. 2016-11-28 18:46:45.337+00}
6528,{2016-11-28 18:46:24.96+00 .. 2016-11-29 01:53:29.297+00}
6656,{2016-11-29 01:53:28.702+00 .. 2016-11-29 01:53:30.215+00}
6784,{2016-11-29 01:53:29.331+00 .. 2016-11-29 01:53:30.867+00}
6912,{2016-11-29 01:53:29.945+00 .. 2016-11-29 01:53:34.774+00}
7040,{2016-11-29 01:53:30.837+00 .. 2016-11-29 01:53:35.656+00}
7168,{2016-11-29 01:53:33.481+00 .. 2016-11-29 01:53:36.432+00}
7296,{2016-11-29 01:53:34.443+00 .. 2016-11-29 01:53:37.383+00}
7424,{2016-11-29 01:53:35.063+00 .. 2016-11-29 01:53:38.534+00}
7552,{2016-11-29 01:53:35.967+00 .. 2016-11-29 01:53:39.427+00}
7680,{2016-11-29 01:53:36.64+00 .. 2016-11-29 01:53:40.356+00}
7808,{2016-11-29 01:53:37.919+00 .. 2016-11-29 01:53:40.987+00}
7936,{2016-11-29 01:53:38.775+00 .. 2016-11-29 01:54:03.407+00}
8064,{2016-11-29 01:53:41.047+00 .. 2016-11-29 01:54:04.819+00}
8192,{2016-11-29 01:53:42.567+00 .. 2016-11-29 01:54:05.972+00}
8320,{2016-11-29 01:54:03.731+00 .. 2016-11-29 01:54:05.984+00}
8448,{2016-11-29 01:54:05.439+00 .. 2016-11-29 01:54:07.372+00}
8576,{2016-11-29 01:54:07.062+00 .. 2016-11-30 07:38:47.823+00}
8704,{2016-11-30 07:38:47.506+00 .. 2016-11-30 07:39:00.714+00}
8832,{2016-11-30 07:39:00.649+00 .. 2016-11-30 08:01:41.105+00}
8960,{2016-11-30 08:01:40.775+00 .. 2016-11-30 08:09:52.387+00}
9088,{2016-11-30 08:09:52.382+00 .. 2016-11-30 08:30:10.766+00}
9216,{2016-11-30 08:30:10.766+00 .. 2016-12-02 09:51:24.09+00}
9344,{2016-12-02 09:51:24.086+00 .. 2016-12-02 10:30:32.424+00}
9472,{2016-12-02 10:30:32.345+00 .. 2016-12-02 10:33:20.915+00}
9600,{2016-12-02 10:32:39.761+00 .. 2016-12-02 10:32:41.415+00}
9728,{2016-12-02 10:32:41.183+00 .. 2016-12-02 10:38:49.811+00}
9856,{2016-12-02 10:38:49.636+00 .. 2016-12-02 10:43:56.466+00}
9984,{2016-12-02 10:43:12.271+00 .. 2016-12-02 10:43:58.387+00}
10112,{2016-12-02 10:43:57.923+00 .. 2016-12-02 10:43:59.606+00}
10240,{2016-12-02 10:43:59.414+00 .. 2016-12-02 11:06:27.863+00}
10368,{2016-12-02 11:06:27.52+00 .. 2016-12-02 11:07:54.669+00}
10496,{2016-12-02 11:07:48.273+00 .. 2016-12-02 11:11:16.252+00}
10624,{2016-12-02 11:07:49.969+00 .. 2016-12-02 11:12:00.488+00}
10752,{2016-12-02 11:07:51.53+00 .. 2016-12-02 11:07:53.354+00}
10880,{2016-12-02 11:07:53.101+00 .. 2016-12-02 11:15:42.05+00}
11008,{2016-12-02 11:07:54.76+00 .. 2016-12-02 11:20:32.69+00}
11136,{2016-12-02 11:19:30.325+00 .. 2016-12-02 11:20:29.668+00}
11264,{2016-12-02 11:20:29.397+00 .. 2016-12-02 11:23:38.387+00}
11392,{2016-12-02 11:20:30.945+00 .. 2016-12-02 11:20:32.802+00}
11520,{2016-12-02 11:20:32.488+00 .. 2016-12-02 11:20:34.406+00}
11648,{2016-12-02 11:20:34.151+00 .. 2016-12-02 11:20:36.012+00}
11776,{2016-12-02 11:20:35.782+00 .. 2016-12-05 07:33:09.086+00}
11904,{2016-12-05 07:33:08.431+00 .. 2016-12-05 07:33:11.387+00}
12032,{2016-12-05 07:33:11.139+00 .. 2016-12-05 07:33:12.641+00}
12160,{2016-12-05 07:33:12.446+00 .. 2016-12-05 07:33:40.519+00}
12288,{2016-12-05 07:33:40.396+00 .. 2016-12-05 07:33:41.809+00}
12416,{2016-12-05 07:33:41.593+00 .. 2016-12-05 07:33:44.409+00}
12544,{2016-12-05 07:33:44.202+00 .. 2016-12-05 07:33:45.591+00}
12672,{2016-12-05 07:33:45.469+00 .. 2016-12-05 07:33:46.878+00}
12800,{2016-12-05 07:33:46.652+00 .. 2016-12-05 07:33:49.452+00}
12928,{2016-12-05 07:33:48.115+00 .. 2016-12-05 07:33:50.744+00}
13056,{2016-12-05 07:33:50.49+00 .. 2016-12-05 07:33:52.047+00}
13184,{2016-12-05 07:33:51.812+00 .. 2016-12-05 07:33:54.706+00}
13312,{2016-12-05 07:33:54.526+00 .. 2016-12-05 07:33:56+00}
13440,{2016-12-05 07:33:55.782+00 .. 2016-12-05 07:33:58.607+00}
13568,{2016-12-05 07:33:58.093+00 .. 2016-12-05 07:33:59.984+00}
13696,{2016-12-05 07:33:59.757+00 .. 2016-12-05 07:56:16.161+00}
13824,{2016-12-05 07:34:02.511+00 .. 2016-12-05 07:34:04.719+00}
13952,{2016-12-05 07:34:03.772+00 .. 2016-12-05 09:10:15.888+00}
14080,{2016-12-05 09:10:15.526+00 .. 2016-12-05 09:11:05.2+00}
14208,{2016-12-05 09:11:05.054+00 .. 2016-12-05 09:11:06.829+00}
14336,{2016-12-05 09:11:06.777+00 .. 2016-12-05 09:11:08.574+00}
14464,{2016-12-05 09:11:08.357+00 .. 2016-12-05 09:11:10.317+00}
14592,{2016-12-05 09:11:09.984+00 .. 2016-12-05 09:11:12.026+00}
14720,{2016-12-05 09:11:11.7+00 .. 2016-12-05 09:11:13.804+00}
14848,{2016-12-05 09:11:13.487+00 .. 2016-12-05 09:11:16.534+00}
14976,{2016-12-05 09:11:15.473+00 .. 2016-12-05 09:11:18.194+00}
15104,{2016-12-05 09:11:17.915+00 .. 2016-12-05 09:11:19.858+00}
15232,{2016-12-05 09:11:19.561+00 .. 2016-12-05 09:11:21.517+00}
15360,{2016-12-05 09:11:21.208+00 .. 2016-12-05 09:11:50.546+00}
15488,{2016-12-05 09:11:50.205+00 .. 2016-12-05 09:11:52.265+00}
15616,{2016-12-05 09:11:51.938+00 .. 2016-12-05 09:11:54.695+00}
15744,{2016-12-05 09:11:54.359+00 .. 2016-12-05 09:11:56.422+00}
15872,{2016-12-05 09:11:56.086+00 .. 2016-12-05 09:11:58.153+00}
16000,{2016-12-05 09:11:57.822+00 .. 2016-12-05 09:11:59.859+00}
16128,{2016-12-05 09:11:59.535+00 .. 2016-12-05 09:12:01.583+00}
16256,{2016-12-05 09:12:01.251+00 .. 2016-12-05 09:12:03.29+00}
16384,{2016-12-05 09:12:02.97+00 .. 2016-12-05 09:12:05.013+00}
16512,{2016-12-05 09:12:04.678+00 .. 2016-12-06 07:22:37.441+00}
16640,{2016-12-06 07:22:37.266+00 .. 2016-12-06 07:24:24.834+00}
16768,{2016-12-06 07:24:24.483+00 .. 2016-12-06 07:25:06.426+00}
16896,{2016-12-06 07:25:06.066+00 .. 2016-12-06 07:25:09.579+00}
17024,{2016-12-06 07:25:08.193+00 .. 2016-12-06 07:25:12.34+00}
17152,{2016-12-06 07:25:11.793+00 .. 2016-12-06 07:25:14.195+00}
17280,{2016-12-06 07:25:13.647+00 .. 2016-12-06 07:25:16.678+00}
17408,{2016-12-06 07:25:16.329+00 .. 2016-12-06 07:32:28.467+00}
17536,{2016-12-06 07:32:10.003+00 .. 2016-12-06 07:32:29.283+00}
17664,{2016-12-06 07:32:29.155+00 .. 2016-12-06 07:32:31.024+00}
17792,{2016-12-06 07:32:30.744+00 .. 2016-12-06 07:32:32.75+00}
17920,{2016-12-06 07:32:32.511+00 .. 2016-12-06 07:32:34.452+00}
18048,{2016-12-06 07:32:34.132+00 .. 2016-12-06 07:32:36.281+00}
18176,{2016-12-06 07:32:35.952+00 .. 2016-12-06 07:33:10.86+00}
18304,{2016-12-06 07:33:10.641+00 .. 2016-12-06 07:33:12.498+00}
18432,{2016-12-06 07:33:12.175+00 .. 2016-12-06 07:33:14.118+00}
18560,{2016-12-06 07:33:13.79+00 .. 2016-12-06 07:33:15.726+00}
18688,{2016-12-06 07:33:15.414+00 .. 2016-12-06 07:33:50.988+00}
18816,{2016-12-06 07:33:50.989+00 .. 2016-12-06 07:33:52.729+00}
18944,{2016-12-06 07:33:52.476+00 .. 2016-12-06 07:33:54.414+00}
19072,{2016-12-06 07:33:54.143+00 .. 2016-12-06 07:33:56.118+00}
19200,{2016-12-06 07:33:55.774+00 .. 2016-12-06 07:33:57.945+00}
19328,{2016-12-06 07:33:57.596+00 .. 2016-12-06 07:34:31.449+00}
19456,{2016-12-06 07:34:31.121+00 .. 2016-12-06 07:34:33.156+00}
19584,{2016-12-06 07:34:32.756+00 .. 2016-12-06 07:34:34.708+00}
19712,{2016-12-06 07:34:34.386+00 .. 2016-12-06 07:34:36.836+00}
19840,{2016-12-06 07:34:36.355+00 .. 2016-12-06 07:34:38.624+00}
19968,{2016-12-06 07:34:38.354+00 .. 2016-12-09 14:21:43.13+00}
20096,{2016-12-09 14:21:43.021+00 .. 2016-12-12 15:30:50.282+00}
20224,{2016-12-12 15:30:50.283+00 .. 2016-12-12 22:29:41.532+00}
20352,{2016-12-12 21:35:16.131+00 .. 2016-12-14 19:35:53.266+00}
20480,{2016-12-14 19:35:53.267+00 .. 2016-12-19 02:54:25.033+00}
20608,{2016-12-19 02:54:25.022+00 .. 2016-12-19 16:00:29.268+00}
20736,{2016-12-19 16:00:28.897+00 .. 2016-12-19 16:00:30.941+00}
20864,{2016-12-19 16:00:30.618+00 .. 2016-12-19 16:00:32.668+00}
20992,{2016-12-19 16:00:32.336+00 .. 2016-12-19 16:00:34.367+00}
21120,{2016-12-19 16:00:34.039+00 .. 2016-12-19 16:01:53.222+00}
21248,{2016-12-19 16:01:52.9+00 .. 2016-12-19 16:02:15.206+00}
21376,{2016-12-19 16:02:15.104+00 .. 2016-12-19 16:02:34.875+00}
21504,{2016-12-19 16:02:34.873+00 .. 2016-12-19 16:02:56.92+00}
21632,{2016-12-19 16:02:56.656+00 .. 2016-12-19 16:03:52.446+00}
21760,{2016-12-19 16:03:52.301+00 .. 2016-12-19 16:04:31.76+00}
21888,{2016-12-19 16:04:31.474+00 .. 2016-12-19 16:04:52.805+00}
22016,{2016-12-19 16:04:52.46+00 .. 2016-12-20 14:57:38.759+00}
22144,{2016-12-20 14:57:38.415+00 .. 2016-12-20 14:57:47.792+00}
22272,{2016-12-20 14:57:47.447+00 .. 2016-12-20 14:57:49.505+00}
22400,{2016-12-20 14:57:49.189+00 .. 2016-12-20 15:08:18.744+00}
22528,{2016-12-20 15:08:18.393+00 .. 2016-12-20 15:08:41.739+00}
22656,{2016-12-20 15:08:41.512+00 .. 2016-12-20 15:08:58.343+00}
22784,{2016-12-20 15:08:58.307+00 .. 2016-12-20 15:09:19.251+00}
22912,{2016-12-20 15:09:18.922+00 .. 2016-12-20 15:14:16.874+00}
23040,{2016-12-20 15:14:16.541+00 .. 2016-12-20 15:14:20.327+00}
23168,{2016-12-20 15:14:20.079+00 .. 2016-12-20 15:14:21.978+00}
23296,{2016-12-20 15:14:21.866+00 .. 2016-12-20 15:14:23.701+00}
23424,{2016-12-20 15:14:23.558+00 .. 2016-12-20 16:58:17.245+00}
23552,{2016-12-20 16:58:17.226+00 .. 2016-12-23 16:08:23.552+00}
23680,{2016-12-23 16:08:23.201+00 .. 2016-12-23 16:08:49.785+00}
23808,{2016-12-23 16:08:39.986+00 .. 2016-12-23 16:09:11.452+00}
